business_id,Date,Rating,Content,Review_auther,Review_image,Reactions,Replies,review_order,Eelite_status,check-in_status,business_name
"demergan-wilton-manors","""09/08/2024""",5,"Our insurance mandated we replace our 15 year old water heater that worked fine. I got 5 quotes and Demergan quoted over the phone and  was the best price. When Brandon came out for the installation, he was knowledgeable, professional, neat, and a super nice guy.","{""Friends"":434,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/IEfMMer-uS6uL0_aJbopkg/60s.jpg"",""Location"":""Delray Beach, FL"",""Photos"":7941,""Reviews_made"":2053,""URL"":""https://www.yelp.com/user_details?userid=hbi468miRDHVWxCrxFadxQ"",""Username"":""Richard S.""}","null","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""A heartfelt thanks Richards, you’ve made my day."",""Date"":""09/08/2024"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/q1hOBroQCVQ2fzeMMGE8yw/30s.jpg"",""Username"":""Brandon F.""}]",1,"","0 check-in","Demergan"
"supreme-pool-tile-cleaning-la-quinta","""09/04/2024""",5,"Rudy just cleaned and sealed our pool tiles. It looks so fabulous! Really happy with how it came out. I like that they use a mineral product that is gentle on the tiles.","{""Friends"":15,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/T7SGTYzXxbSdP_UT7RT4oA/60s.jpg"",""Location"":""Indio, CA"",""Photos"":63,""Reviews_made"":80,""URL"":""https://www.yelp.com/user_details?userid=otj6_nUWa1j0pe5GgehcIg"",""Username"":""Lisa C.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/ETn2-3vr8fHS58E1ROrGuA/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/qSs5LVwjQR4ptEcnu59QBw/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/JQO4EVdTGQOcQnI8D1XcZw/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/oKw5awQ2wcFuq1iyim1nBA/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/l68HPqCBsIcwjkNHpHP9xg/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/gVJa0YmxLisBtxGOQHQHNw/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/7sHG6j5FIb4zhhC9adfOAQ/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/ikExEG18xBR4W1m1uhKAeg/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/vrS-1QNLkrrdwVrh7nt7qw/348s.jpg""]","[{""Number"":1,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":1,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",3,"","0 check-in","Supreme Pool Tile Cleaning"
"supreme-pool-tile-cleaning-la-quinta","""05/08/2022""",5,"Can you say looks like a brand new pool?

We can, because we used Rudy based on a recommendation and they did not disappoint!  2 year old pool had hard water calcium buildup on our tile living in the desert. 

Rudy was upfront, professional and responsive and took care of business, and his team is an expert in this area. 

From explaining the process to taking care of everything on time and on task, we couldn't be more pleased.

We did not have to drain the pool all the way, just a partial to attack the tile with utmost detail. We highly recommend this company!","{""Friends"":1221,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/WG__kOpMX3otSkLx4-u5Gw/60s.jpg"",""Location"":""Austin, TX"",""Photos"":744,""Reviews_made"":467,""URL"":""https://www.yelp.com/user_details?userid=rcYGwmcFd7ndKuUIawIS8w"",""Username"":""Malia R.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/QC9c3kbVL6mBRVQSkRoaYg/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/EZVXZYQZx5yXX5ulr3x1Sw/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/TUaJswWhV-s8DcSk02foIg/348s.jpg""]","[{""Number"":2,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":1,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",10,"","0 check-in","Supreme Pool Tile Cleaning"
"leisure-pools-of-sw-florida-naples-2","""27/02/2023""",1,"We finally fired Leisure Pools of Naples because they kept changing our pool person to someone who did not know what they were doing.  Our pool rarely got scrubbed and vacuumed. They usually just checked the chemical levels and adjusted as needed and the filters were changed as needed.  Our pool person would usually spend more time sitting in the truck instead of cleaning our pool.  We also have a hot tub.  The last straw was when our new pool person over chlorinated the hot tub causing us chemical burns and our swim suits were severely bleached.  They are very lucky we are not suing them.  Leisure pools needs to train their employees better and check to see if they are actually working or just sitting in the truck.  We are very disappointed.  We tried very hard to work with the owners and managers only to find not much change in the service.  I will never recommend them to a friend.","{""Friends"":0,""Location"":""SoMa, San Francisco, CA"",""Photos"":0,""Reviews_made"":1,""URL"":""https://www.yelp.com/user_details?userid=_fahTYEZ4R1qpwPAMj_Rcg"",""Username"":""Sunley B.""}","null","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""We greatly apologize that you were not satisfied with our service at the time. We had been cleaning your pool for years. Your maintenance person was let go shortly after you cancellation of service. As a small family business we strive to provide the best service. Again, our greatest regret that our business could not continue you. We wish the best for you and your family!"",""Date"":""02/07/2023"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/5JlmvyNKfqJVh49t118igQ/30s.jpg"",""Username"":""E A.""}]",3,"","0 check-in","Leisure Pools Of SW Florida"
"leisure-pools-of-sw-florida-naples-2","""05/01/2023""",1,"They are too busy and looks like they have enough work.  Workers are just clocking in their GPS - not cleaning your pool.  I have had a stain for the past 6 months that I was able to get rid of myself where before thought they were just not able to get rid of it.  Sad. Not worth your time.","{""Friends"":0,""Location"":""San Francisco, CA"",""Photos"":0,""Reviews_made"":1,""URL"":""https://www.yelp.com/user_details?userid=Vg6dNjkG0R2V7C2ECbYa5w"",""Username"":""Anna B.""}","null","[{""Number"":1,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Hello Anna! I apologize we were unable to address your stain. That’s very unlike our team. I hope that you contacted the owner in the office so that we could address the problem. Although we were unable to remove the stain we are glad it is now gone. Thank you for the review and our owners will be notified. Have a wonderful Summer!"",""Date"":""02/07/2023"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/5JlmvyNKfqJVh49t118igQ/30s.jpg"",""Username"":""E A.""}]",4,"","0 check-in","Leisure Pools Of SW Florida"
"supreme-pool-tile-cleaning-la-quinta","""28/04/2023""",5,"These Guys are so great.  I just had them come out and do a touch up on the  blue Italian tile around our pool to keep it looking brilliant and calcium free.  Rudy and his crew are terrific, fast to respond - and know exactly what they are doing to keep our pool looking AMAZING.  Like I have said before Rudy ... I'll see you next time to do touch ups on the pool tile.  It has NEVER looked better and I always know I am in great hands with you.  I also appreciate your acknowledgement of me as a repeat customer!  Such great service!","{""Friends"":72,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/iNSZle5sKrysVCbNw9OMsA/60s.jpg"",""Location"":""Los Angeles, CA"",""Photos"":38,""Reviews_made"":226,""Tag"":""Elite24"",""URL"":""https://www.yelp.com/user_details?userid=rEEBOPs4zqwLXpIrLstgyw"",""Username"":""Jane B.""}","null","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Oh yeah ... these guys ARE the ones for cleaning calcium off your pool tile!!!  I saw that a neighbor on Nextdoor had used them ... so I gave them a call to see what they could do on my pool tiles and the results were remarkable.  We purchased a house in Sun City a little over a year ago ... and I tried in vain to keep the dark blue and red Italian style tiles clean myself by scrubbing - but had to call in the pros at Supreme Pool Tile Works to do the job RIGHT.  Cost wise ... mmm, it is a bit of a spurge.  BUT - \n it only has to be done every so often with our hard water ... and it makes the pool look so much better!  Thank you Rudy for making my life so easy and beautiful!  PS ... see you in another year or so!  We will 110% be using you again.  You are the bomb!!"",""Date"":""01/07/2022"",""Images"":[""https://s3-media0.fl.yelpcdn.com/bphoto/MJNZAG3H9tAriV1JinnNXQ/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/NSTN8C7816hbYajc90k-Cg/348s.jpg""],""User_Image"":""https://s3-media0.fl.yelpcdn.com/photo/iNSZle5sKrysVCbNw9OMsA/60s.jpg"",""Username"":""Jane B.""}]",6,"Elite from 24","0 check-in","Supreme Pool Tile Cleaning"
"supreme-pool-tile-cleaning-la-quinta","""05/09/2021""",5,"Rudy did an amazing job cleaning and refreshing our pool tile. He was responsive, professional, and pricing was very reasonable given the amount of work he had to do. Highly recommended!","{""Friends"":116,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/s66TM8WRm8WFzQo3q_uHIA/60s.jpg"",""Location"":""La Quinta, CA"",""Photos"":3,""Reviews_made"":81,""URL"":""https://www.yelp.com/user_details?userid=_VnP4meGpxHUxljkeHzxYA"",""Username"":""Brett M.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/E14TgDJZy9ZKy2KFk1G3TQ/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/ldR3Mjg_zR2d3YKk6bVrgA/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/InmjJlQT89u3QIdBN6cl1g/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",19,"","0 check-in","Supreme Pool Tile Cleaning"
"supreme-pool-tile-cleaning-la-quinta","""11/01/2021""",5,"These guys really got their trade down! They showed up on time and got right to it. What I really loved was that Rudy asked me to review the work and made sure I was satisfied before they tidied up and left. I would definitely recommend them to anyone and everyone who is looking for hard/honest work! Thanks again Jessie and Rudy!","{""Friends"":231,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/swBSGVwGYW5Fpu-wRoXvfg/60s.jpg"",""Location"":""Tustin, CA"",""Photos"":7,""Reviews_made"":7,""URL"":""https://www.yelp.com/user_details?userid=BVIneXaswoye2AQac-REAQ"",""Username"":""Matt E.""}","null","[{""Number"":2,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Thank you for the review Mathew!! Call us again anytime"",""Date"":""14/01/2021"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/i8zpXHrAtL4SIOvlEJFULQ/30s.jpg"",""Username"":""Rudy F.""}]",27,"","0 check-in","Supreme Pool Tile Cleaning"
"daniel-mondragon-dallas-4","""08/02/2024""",5,"I recently had the pleasure of working with DFW Sprinkler Services to upgrade the irrigation system on my property, and I cannot speak highly enough of the exceptional service and quality work provided by this company. 
From negotiating a price to watching the process of the job, DFW Sprinkler Service makes it so smooth and easy. They got the job done in an under a day. Upon completion, the results were impressive. If you're seeking a reliable and skilled team to enhance your property's irrigation system I highly recommend this company.
Services done: New irrigation system, sod, and plants.","{""Friends"":0,""Location"":""Dallas, TX"",""Photos"":3,""Reviews_made"":3,""URL"":""https://www.yelp.com/user_details?userid=wx8OzrT3csyVwtuoNW1hhQ"",""Username"":""Abby R.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/A_XZgcTEgRQP9mdvSEODwQ/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/QuqWo57lh6ViJe2l7vWcEw/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":1,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",1,"","0 check-in","Daniel Mondragon"
"sparkling-pool-service-honolulu","""27/06/2024""",5,"My husband and I have been a client of Conrad's for 2 years. From the moment he started taking care of our pool, we knew we were in capable hands. Conrad is not just knowledgeable; he's a wizard when it comes to understanding water chemistry. Our pool has never looked better, and that's all thanks to his expertise and meticulous care.

Conrad doesn't just stop at keeping the water sparkling clean; he goes above and beyond. He ensures that every inch of our pool is properly maintained and flawlessly cleaned. It's clear that he takes pride in his work, and it truly shows in the results.

Beyond his professional skills, Conrad is also a joy to have around. He's friendly, approachable, and has a natural knack for getting along with everyone--including our crazy dog, who adores him! It's not easy to find someone who not only does their job impeccably but also brings such a positive energy to their work.

If you're looking for someone who is reliable, knowledgeable, and genuinely cares about the quality of their work, Conrad is your guy. I can't recommend him highly enough!","{""Friends"":1,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/xVAWzjSsIyb_7hMxFSvAeQ/60s.jpg"",""Location"":""Honolulu, HI"",""Photos"":4,""Reviews_made"":19,""URL"":""https://www.yelp.com/user_details?userid=d8IjP438QrLFBaP224X3Jg"",""Username"":""Chi M.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/gnTAauvyNVGJMg-nYYqQRQ/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",1,"","0 check-in","Sparkling Pool Service"
